Data,BF_Precipitazione (mm),BF_Temperatura 2 Metri (°C),BF_Umidità 2 Metri (%),DV_Precipitazione (mm),DV_Temperatura 2 Metri (°C),DV_Umidità 2 Metri (%),EL_Precipitazione (mm),EL_Temperatura 2 Metri (°C),EL_Umidità 2 Metri (%),PC_Precipitazione (mm),PC_Temperatura 2 Metri (°C),PC_Umidità 2 Metri (%),PA_Precipitazione (mm),PA_Temperatura 2 Metri (°C),PA_Umidità 2 Metri (%),RG_Precipitazione (mm),RG_Temperatura 2 Metri (°C),RG_Umidità 2 Metri (%),TA_Precipitazione (mm),TA_Temperatura 2 Metri (°C),TA_Umidità 2 Metri (%),TB_Precipitazione (mm),TB_Temperatura 2 Metri (°C),TB_Umidità 2 Metri (%),TC_Precipitazione (mm),TC_Temperatura 2 Metri (°C),TC_Umidità 2 Metri (%),TS_Precipitazione (mm),TS_Temperatura 2 Metri (°C),TS_Umidità 2 Metri (%),UC_Precipitazione (mm),UC_Temperatura 2 Metri (°C),UC_Umidità 2 Metri (%),VA_Precipitazione (mm),VA_Temperatura 2 Metri (°C),VA_Umidità 2 Metri (%),VB_Precipitazione (mm),VB_Temperatura 2 Metri (°C),VB_Umidità 2 Metri (%),station_id,station_name,timestamp_utc,timestamp_local,US_Precipitazione (mm),US_Temperatura 2 Metri (°C),US_Umidità 2 Metri (%),DB_Precipitazione (mm),DB_Temperatura 2 Metri (°C),DB_Umidità 2 Metri (%)
20/05/2026,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0 mm,12.7 °C,77 %,0PU01,GUROLAMANNA,2026-05-20T15:37:48.563817,2026-05-20T15:37:48.563835,,,,,,
20/05/2026,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0 mm,11.8 °C,86 %,0PU03,LIMELLI D'IMPERATORE,2026-05-20T15:37:54.564824,2026-05-20T15:37:54.564834,,,,,,
20/05/2026,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0 mm,14.8 °C,70 %,0PU04,OTTAVA SEDICI,2026-05-20T15:38:00.558137,2026-05-20T15:38:00.558153,,,,,,
20/05/2026,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0 mm,16.2 °C,85 %,0PU06,MAINE,2026-05-20T15:38:06.616205,2026-05-20T15:38:06.616221,,,,,,
20/05/2026,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0 mm,12.1 °C,88 %,0PU07,TRIONFO,2026-05-20T15:38:12.602101,2026-05-20T15:38:12.602115,,,,,,
20/05/2026,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0 mm,11.3 °C,77 %,0PU08,TORRETTA,2026-05-20T15:38:18.590995,2026-05-20T15:38:18.591010,,,,,,
20/05/2026,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0 mm,15.7 °C,93 %,0PU10,FRASSANITO,2026-05-20T15:38:24.588742,2026-05-20T15:38:24.588757,,,,,,
20/05/2026,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0 mm,15.6 °C,87 %,0PU11,BADESSA,2026-05-20T15:38:30.887124,2026-05-20T15:38:30.887135,,,,,,
20/05/2026,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0 mm,15 °C,84 %,0PU12,CONTE,2026-05-20T15:38:36.853704,2026-05-20T15:38:36.853715,,,,,,
20/05/2026,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0 mm,14.4 °C,70 %,0PU13,TORRICELLA,2026-05-20T15:38:42.733441,2026-05-20T15:38:42.733454,,,,,,
20/05/2026,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0 mm,12.8 °C,74 %,0PU14,TAFURI,2026-05-20T15:38:48.704500,2026-05-20T15:38:48.704512,,,,,,
20/05/2026,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0 mm,14 °C,82 %,0PU16,ANDRIA,2026-05-20T15:38:54.667243,2026-05-20T15:38:54.667254,,,,,,
20/05/2026,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0 mm,11.2 °C,82 %,0PU17,OSTUNI-SAROLO,2026-05-20T15:39:00.635147,2026-05-20T15:39:00.635158,,,,,,
20/05/2026,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0 mm,15.6 °C,68 %,0PU18,MONOPOLI,2026-05-20T15:39:06.679098,2026-05-20T15:39:06.679110,,,,,,
20/05/2026,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0 mm,15 °C,71 %,0PU19,TERLIZZI,2026-05-20T15:39:12.902057,2026-05-20T15:39:12.902072,,,,,,
20/05/2026,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0 mm,14.9 °C,63 %,0PU20,VILLA CASTELLI,2026-05-20T15:39:18.767730,2026-05-20T15:39:18.767741,,,,,,
20/05/2026,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0 mm,15.5 °C,67 %,0PU21,CAROVIGNO,2026-05-20T15:39:24.633828,2026-05-20T15:39:24.633840,,,,,,
20/05/2026,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0 mm,12.9 °C,95 %,0PU22,APRICENA,2026-05-20T15:39:30.504131,2026-05-20T15:39:30.504143,,,,,,
