station_id,name,municipality,longitude,latitude
0PU01,GUROLAMANNA,ALTAMURA,16.447779,40.916111
0PU03,LIMELLI D'IMPERATORE,GRAVINA IN PUGLIA,16.3125,40.8825
0PU04,OTTAVA SEDICI,FASANO,17.481943,40.793056
0PU06,MAINE,SAN PIETRO VERNOTICO,18.032223,40.543331
0PU07,TRIONFO,ORTA NOVA,15.744444,41.3475
0PU08,TORRETTA,PIETRAMONTECORVINO,15.174167,41.542221
0PU10,FRASSANITO,OTRANTO,18.441668,40.237499
0PU11,BADESSA,SQUINZANO,18.087221,40.477501
0PU12,CONTE,RACALE,18.067778,39.981945
0PU13,TORRICELLA,TORRICELLA,17.487778,40.343334
0PU14,TAFURI,CASTELLANETA,16.868055,40.68111
0PU16,ANDRIA,ANDRIA,16.204445,41.206112
0PU17,OSTUNI-SAROLO,OSTUNI,17.414167,40.68861
0PU18,MONOPOLI,MONOPOLI,17.294443,40.919724
0PU19,TERLIZZI,TERLIZZI,16.549444,41.120834
0PU20,VILLA CASTELLI,VILLA CASTELLI,17.504444,40.553055
0PU21,CAROVIGNO,CAROVIGNO,17.630556,40.692223
0PU22,APRICENA,APRICENA,15.438889,41.773335
0PU23,MANFREDONIA,MANFREDONIA,15.886111,41.541389
0PU25,NOCIGLIA,NOCIGLIA,18.313334,40.034443
0PU27,GROTTAGLIE,GROTTAGLIE,17.362778,40.534168
0PU28,TRANI,TRANI,16.415277,41.246666
0PU30,NOICATTARO,NOICATTARO,16.968056,41.022221
0PU31,ALBEROBELLO,ALBEROBELLO,17.23361,40.790558
0PU32,TORRE MOZZA,BRINDISI,17.88139,40.604721
0PU33,MOCCARI,MESAGNE,17.851667,40.558613
0PU34,LATIANO,LATIANO,17.688057,40.548611
0PU35,SAN VITO DEI NORMANNI,SAN VITO DEI NORMANNI,17.73361,40.628613
0PU36,VILLANOVA,RIGNANO GARGANICO,15.586944,41.654446
0PU37,TROIA,TROIA,15.383056,41.336666
0PU38,BORGO LA ROCCA,FOGGIA,15.516111,41.558613
0PU40,ARCHE,LEVERANO,18.013611,40.274166
0PU41,LECCE,LECCE,18.139999,40.326942
0PU42,SALICE SALENTINO,SALICE SALENTINO,17.875557,40.390556
0PU43,LUCUGNANO,TRICASE,18.3225,39.93
0PU44,MANDURIA,MANDURIA,17.621389,40.381943
0PU45,MOTTOLA,MOTTOLA,16.996111,40.675835
0PU46,MASSAFRA,MASSAFRA,17.091944,40.583057
0PU47,CASTELLANETA,CASTELLANETA,16.878611,40.494446
0PU48,BARI C.N.R. IRSA,BARI,16.820557,41.116943
0PU49,LOCOROTONDO ITAS,LOCOROTONDO,17.34111,40.75639
0PU52,CONVERSANO,CONVERSANO,17.123611,40.979443
0PU53,TORITTO,TORITTO,16.567223,40.9575
0PU54,TORRE SANTA SUSANNA,TORRE SANTA SUSANNA,17.724722,40.459721
0PU55,LESINA-RIPALTA,LESINA,15.266389,41.8475
0PU56,CARLANTINO,CARLANTINO,14.983889,41.588612
0PU57,SANT'AGATA DI PUGLIA,SANT'AGATA DI PUGLIA,15.46,41.150276
0PU58,GINOSA,GINOSA,16.843611,40.556667
0PU59,PALAGIANELLO,PALAGIANELLO,16.975555,40.578335
0PU60,MINERVINO DI LECCE,MINERVINO DI LECCE,18.418612,40.093887
0PU61,NARDO',NARDO',17.976389,40.171665
MBA20,IPSAA,CANOSA DI PUGLIA,16.052778,41.220554
MBA21,MONTEGROSSO,ANDRIA,16.185833,41.133057
MBA22,S.P. SANTERAMO,ALTAMURA,16.591389,40.80611
MBA23,GRAVINA IN PUGLIA,GRAVINA IN PUGLIA,16.275278,40.938057
MBA24,CASSANO DELLE MURGE,CASSANO DELLE MURGE,16.78861,40.919167
MBA25,SANTERAMO IN COLLE,SANTERAMO IN COLLE,16.775833,40.786388
MBA26,CAMPO SPER. UNIBA,VALENZANO,16.906668,41.023609
MBA27,SERRONE(AZ.AGR.MANCINI),CASAMASSIMA,16.9475,40.921665
MBA28,MURGIA ANTICI,NOCI,17.106943,40.715832
MBA29,LAMENDOLA I,PUTIGNANO,17.164444,40.812222
MBR30,FASCIANELLO,FASANO,17.364166,40.860558
MBR31,FERRUZZO,CEGLIE MESSAPICA,17.497499,40.624168
MFG01,S. LUCIA,LUCERA,15.365,41.469723
MFG02,SERRA DEI BISI,TROIA,15.282778,41.348057
MFG03,LA PESCIA,FOGGIA,15.763333,41.406944
MFG04,TRE SANTI,CERIGNOLA,15.848333,41.393612
MFG05,RIVOLI,ZAPPONETA,15.929167,41.471111
MFG06,TAVOLETTA,CERIGNOLA,15.932222,41.194168
MFG07,COPPA D'ORO,FOGGIA,15.607222,41.421944
MFG09,ARIOLA,CARPINO,15.858889,41.834442
MFG10,MATINE CARNE SALATA,SAN GIOVANNI ROTONDO,15.706944,41.651943
MFG11,SELVA DELLE GROTTE,TORREMAGGIORE,15.148333,41.715
MFG12,SERRONE,ALBERONA,15.193333,41.461945
MFG13,BISCIGLIETO,ASCOLI SATRIANO,15.663056,41.142776
MFG14,S. LUCIA,RODI GARGANICO,15.874722,41.922779
MFG15,CASA LORDA,SAN SEVERO,15.401111,41.618332
MFG16,QUERCIA COPPE,SAN GIOVANNI ROTONDO,15.756944,41.693333
MFG17,CARRO CHIUSO,SAN FERDINANDO DI PUGLIA,16.077223,41.284443
MFG18,VIESTE,VIESTE,16.080557,41.901669
MFG19,FOGGIA MONTEROZZI,FOGGIA,15.591944,41.521111
MLE34,BARBARO,UGENTO,18.1525,39.980831
MLE35,MALOPRA,MARTANO,18.299444,40.225555
